nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesxy,nbre_pdc,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache
AEV ATELIER ELECTRIQUE VOIRONNAIS,404675878.0,contact@aevelec.fr,FRESHMILE,exploitation@freshmile.com,03 68 78 14 35,SATORIZ GRENOBLE ROCADE,,BORNE 1 SATORIZ GRENOBLE ROCADE,Parking privé à usage public,"9 RUE DU BEAL, 38400, ST MARTIN D'HERES, FRANCE",38421,"5.76,45.16",2,,11.0,1,1,0,0,0,0,1,1.0,0.0,0.20,Accès libre,0,24/7,false,Indirect,19302604816408,2021-05-27,,2021-06-22,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805022784,CPO Alizé Liberté Public,,SEYSSINS - Rue du Dr Schweitzer,Voirie,16 Rue du Dr Schweitzer 38180 SEYSSINS,38486,"5.6941247,45.15944978",5,,120.0,0,0,1,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-02-08,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805022428,Grenoble-Alpes Métropole,,EYBENS - Parking Relais Eybens Le Verderet,Voirie,Avenue des Maquis de l'Oisans 38320 EYBENS,38158,"5.7547996,45.1470172",2,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-03-10,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805022341,Grenoble-Alpes Métropole,,GRENOBLE - Place Victor Hugo - Victor Hugo,Voirie,GRENOBLE - Place Victor Hugo - Victor Hugo,38185,"5.723815,45.18895",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-08-08,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023573,Grenoble-Alpes Métropole,,GIERES - Parking Relais Gières Plaine des Sports,Voirie,Rue des Glairons 38610 GIERES,38179,"5.7836658,45.1881051",6,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-03-10,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023398,CPO Alizé Liberté Public,,SEYSSINS - Rue du Dr Schweitzer,Voirie,16 Rue du Dr Schweitzer 38180 SEYSSINS,38486,"5.6941247,45.15944978",5,,120.0,0,0,1,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-02-04,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023397,CPO Alizé Liberté Public,,SEYSSINS - Rue du Dr Schweitzer,Voirie,16 Rue du Dr Schweitzer 38180 SEYSSINS,38486,"5.6941247,45.15944978",5,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-24,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023396,CPO Alizé Liberté Public,,SEYSSINS - Rue du Dr Schweitzer,Voirie,16 Rue du Dr Schweitzer 38180 SEYSSINS,38486,"5.6941247,45.15944978",5,,22.0,0,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-24,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023790,CPO Alizé Liberté Public,,MONTBONNOT ST MARTIN - Route de la Doux,Voirie,1063 Route de la Doux 38330 MONTBONNOT ST MARTIN,38249,"5.8203531,45.2232053",5,,22.0,0,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-12,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023789,CPO Alizé Liberté Public,,MONTBONNOT ST MARTIN - Route de la Doux,Voirie,1063 Route de la Doux 38330 MONTBONNOT ST MARTIN,38249,"5.8203531,45.2232053",5,,120.0,0,0,1,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-09-15,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023787,CPO Alizé Liberté Public,,MONTBONNOT ST MARTIN - Route de la Doux,Voirie,1063 Route de la Doux 38330 MONTBONNOT ST MARTIN,38249,"5.8203531,45.2232053",5,,22.0,0,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-12,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023786,CPO Alizé Liberté Public,,MONTBONNOT ST MARTIN - Route de la Doux,Voirie,1063 Route de la Doux 38330 MONTBONNOT ST MARTIN,38249,"5.8203531,45.2232053",5,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-10,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023784,CPO Alizé Liberté Public,,MONTBONNOT ST MARTIN - Route de la Doux,Voirie,1063 Route de la Doux 38330 MONTBONNOT ST MARTIN,38249,"5.8203531,45.2232053",5,,120.0,0,0,1,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-09-15,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023675,Grenoble-Alpes Métropole,,GRENOBLE - Place Jean Achard (CITIZ),Voirie,Place Jean Achard (CITIZ) 38000 GRENOBLE,38185,"5.72949,45.18938",1,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2021-11-09,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805022984,Grenoble-Alpes Métropole,,SEYSSINET-PARISET - Parking Lamartine,Voirie,Rue Lamartine  38170 SEYSSINET-PARISET,38485,"5.69592,45.17965",2,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-25,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805022988,Grenoble-Alpes Métropole,,SASSENAGE - Parking Relais Engenieres,Voirie,1 Rue des Engenières 38360 SASSENAGE,38474,"5.6597259,45.2210071",2,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-02-13,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805022996,Grenoble-Alpes Métropole,,DOMENE - Rue du Colonel Fouque,Voirie,Rue du Colonel Fouque 38420 DOMENE,38150,"5.83856923,45.20246463",1,,25.0,1,1,1,1,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-19,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023299,Grenoble-Alpes Métropole,,SAINT-MARTIN-D'HERES - Etienne Grappe,Voirie,Rue Henri Wallon 38400 SAINT-MARTIN-D'HERES,38421,"5.757846,45.171972",2,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-02-24,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023237,Grenoble-Alpes Métropole,,GRENOBLE - Rue Félix Esclangon - Cité Internationale,Voirie,GRENOBLE - Rue Félix Esclangon - Cité Internationale,38185,"5.710719,45.19574",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-08-15,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805023242,Grenoble-Alpes Métropole,,GRENOBLE - Place Dr Léon Martin - Vaucanson (CITIZ),Voirie,Place Dr Léon Martin - Vaucanson (CITIZ) 38000 GRENOBLE,38185,"5.727,45.18818",1,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2021-08-26,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805021571,Grenoble-Alpes Métropole,,GRENOBLE - Place André Malraux - CCI,Voirie,GRENOBLE - Place André Malraux - CCI,38185,"5.729505,45.18551",2,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2021-05-06,,2023-03-17,
BOTANIC,312910557.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805021529,CPO Alizé Liberté Public,,SEYSSINS - Rue du Dr Schweitzer,Voirie,16 Rue du Dr Schweitzer 38180 SEYSSINS,38486,"5.6941247,45.15944978",5,,22.0,0,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-24,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805021925,Grenoble-Alpes Métropole,,GRENOBLE - Place Jean Achard,Voirie,GRENOBLE - Place Jean Achard,38185,"5.72939,45.18938",2,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-10-25,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805021908,Grenoble-Alpes Métropole,,GRENOBLE - Quai Stéphane Jay,Voirie,GRENOBLE - Quai Stéphane Jay,38185,"5.725525,45.19302",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-06-21,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805021503,Grenoble-Alpes Métropole,,GIERES - Parking Relais Gières Plaine des Sports,Voirie,Rue des Glairons 38610 GIERES,38179,"5.7836658,45.1881051",6,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-03-10,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025898,Grenoble-Alpes Métropole,,PALLUEL - Parking Le Fontanil Cornillon,Voirie,Rue des Mûriers 38120 PALLUEL,38170,"5.6607537,45.2541131",8,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-30,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025897,Grenoble-Alpes Métropole,,PALLUEL - Parking Le Fontanil Cornillon,Voirie,Rue des Mûriers 38120 PALLUEL,38170,"5.6607537,45.2541131",8,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-30,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025895,Grenoble-Alpes Métropole,,GRENOBLE - Place De Lavalette - ND - Musée,Voirie,GRENOBLE - Place De Lavalette - ND - Musée,38185,"5.731627,45.19407",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-08-01,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025894,Grenoble-Alpes Métropole,,GRENOBLE - Rue Jacquard - Balzac,Voirie,GRENOBLE - Rue Jacquard - Balzac,38185,"5.724746,45.17461",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-08-01,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025891,Grenoble-Alpes Métropole,,GRENOBLE - Rue Jules Horowitz - Horowitz,Voirie,GRENOBLE - Rue Jules Horowitz - Horowitz,38185,"5.699334,45.20505",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-07-02,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025914,Grenoble-Alpes Métropole,,SAINT-MARTIN-D'HERES - Avenue Centrale - BU,Voirie,SAINT-MARTIN-D'HERES - Avenue Centrale - BU,38421,"5.769781,45.1916",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-09-05,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025913,Grenoble-Alpes Métropole,,SEYSSINS - Parking Le Prisme,Voirie,Allée Roger Rahon 38180 SEYSSINS,38486,"5.691263,45.165259",5,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-25,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025912,Grenoble-Alpes Métropole,,SEYSSINS - Parking Le Prisme,Voirie,Allée Roger Rahon 38180 SEYSSINS,38486,"5.691263,45.165259",5,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-25,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025911,Grenoble-Alpes Métropole,,SEYSSINS - Parking Le Prisme,Voirie,Allée Roger Rahon 38180 SEYSSINS,38486,"5.691263,45.165259",5,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-18,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025910,Grenoble-Alpes Métropole,,SEYSSINS - Parking Le Prisme,Voirie,Allée Roger Rahon 38180 SEYSSINS,38486,"5.691263,45.165259",5,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-07,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025908,Grenoble-Alpes Métropole,,MEYLAN - Allée Des Amphores,Voirie,MEYLAN - Allée Des Amphores,38185,"5.786497,45.21114",3,,22.0,0,0,0,1,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-08-11,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025906,Grenoble-Alpes Métropole,,MEYLAN - Allée Des Amphores,Voirie,MEYLAN - Allée Des Amphores,38185,"5.786497,45.21114",3,,22.0,0,0,1,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-07-25,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805024808,Grenoble-Alpes Métropole,,GRENOBLE - Cours De La Libération Et Du Général De Gaulle - Louise Michel,Voirie,GRENOBLE - Cours De La Libération Et Du Général De Gaulle - Louise Michel,38185,"5.712591,45.16981",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-08-12,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805026355,Grenoble-Alpes Métropole,,SAINT-MARTIN-D'HERES - Etienne Grappe,Voirie,Rue Henri Wallon 38400 SAINT-MARTIN-D'HERES,38421,"5.757846,45.171972",2,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-02-24,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805026353,Grenoble-Alpes Métropole,,SAINT-EGREVE - Parking  Karben,Voirie,15 Route de Lyon 38120 SAINT-EGREVE,38382,"5.6692959,45.24273237",3,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-11-29,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805026347,Grenoble-Alpes Métropole,,GIERES - Rue De La Gare,Voirie,GIERES - Rue De La Gare,38185,"5.784519,45.18462",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-10-11,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805024990,Grenoble-Alpes Métropole,,GRENOBLE - Rue Thiers,Voirie,GRENOBLE - Rue Thiers,38185,"5.719674,45.18509",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-06-26,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025408,Grenoble-Alpes Métropole,,SEYSSINS - Parking Le Prisme (CITIZ),Voirie,Parking Le Prisme (CITIZ) 38180 SEYSSINS,38486,"5.695,45.165259",1,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-12-30,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025401,Grenoble-Alpes Métropole,,ECHIROLLES - Avenue de la République,Voirie,Avenue de la République 38130 ECHIROLLES,38151,"5.721625,45.139902",2,,14.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2022-08-05,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025398,Grenoble-Alpes Métropole,,LA TRONCHE - Avenue De L'Obiou (CITIZ),Voirie,Avenue De L'Obiou (CITIZ) 38700 LA TRONCHE,38516,"5.7508,45.19941",1,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2021-05-13,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025396,Grenoble-Alpes Métropole,,SARCENAS - Parking Route du Charmant Som,Voirie,445 Route du Charmant Som 38700 SARCENAS,38472,"5.7657409,45.2941808",2,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-19,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025394,Grenoble-Alpes Métropole,,VARCES-ALLIERES-ET-RISSET - Le parking-relais du Grand Rochefort,Voirie,D1075 Le grand Rochefort 38760 VARCES-ALLIERES-ET-RISSET,38524,"5.6865667,45.1031403",4,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-03-13,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025392,Grenoble-Alpes Métropole,,VARCES-ALLIERES-ET-RISSET - Le parking-relais du Grand Rochefort,Voirie,D1075 Le grand Rochefort 38760 VARCES-ALLIERES-ET-RISSET,38524,"5.6865667,45.1031403",4,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-03-13,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025389,Grenoble-Alpes Métropole,,PONT-DE-CLAIX - Parking-Relais L'Etoile,Voirie,PONT-DE-CLAIX - Parking-Relais L'Etoile,38317,"5.703982,45.13755",4,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2021-06-03,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025433,Grenoble-Alpes Métropole,,ECHIROLLES - Parking Relais Échirolles - Gare,Voirie,Rue de Provence 38130 ECHIROLLES,38151,"5.7191342,45.1532227",6,,7.4,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-03-03,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025440,Grenoble-Alpes Métropole,,GRENOBLE - Alpexpo - Rue Henri Barbusse,Voirie,Rue Henri Barbusse 38100 GRENOBLE,38185,"5.7356288,45.1566238",2,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-03-02,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025437,Grenoble-Alpes Métropole,,CLAIX - Place du Champ de Foire,Voirie,Place du Champ de Foire 38640 CLAIX,38111,"5.67071661,45.11932681",1,,25.0,1,1,1,1,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2023-01-19,,2023-03-17,
Grenoble-Alpes Métropole,123456789.0,support@alizecharge.fr,Bouygues E&S,support@alizecharge.fr,805025436,Grenoble-Alpes Métropole,,SAINT-MARTIN-D'HERES - Rue De La Houille Blanche - Les taillées,Voirie,SAINT-MARTIN-D'HERES - Rue De La Houille Blanche - Les taillées,38421,"5.757221,45.19191",1,,22.0,1,1,0,0,0,1,1,0.0,,,Accès libre,0,Mo-Su 00:00-23:59,FALSE,Direct,0,2019-10-11,,2023-03-17,
